date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:36	361/361	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Sep%202017%2016:47:04%20GMT	https://kunalkene1797.github.io/assets/css/images/close.svg	C:/Users/sanjay/Desktop/github%20copy/sanjay/kunalkene1797.github.io/assets/css/images/close.svg	(from https://kunalkene1797.github.io/assets/css/main.css)
15:25:37	401/401	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Sep%202017%2016:47:04%20GMT	https://kunalkene1797.github.io/assets/css/images/bars.svg	C:/Users/sanjay/Desktop/github%20copy/sanjay/kunalkene1797.github.io/assets/css/images/bars.svg	(from https://kunalkene1797.github.io/assets/css/main.css)
15:25:37	406/406	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Sep%202017%2016:47:04%20GMT	https://kunalkene1797.github.io/assets/css/images/arrow.svg	C:/Users/sanjay/Desktop/github%20copy/sanjay/kunalkene1797.github.io/assets/css/images/arrow.svg	(from https://kunalkene1797.github.io/assets/css/main.css)
15:25:44	66551/66551	---MC-	200	added ('OK')	text/javascript	date:Thu,%2021%20Sep%202017%2014:32:49%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/sanjay/Desktop/github%20copy/sanjay/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://kunalkene1797.github.io/downloads.html)
15:25:44	75220/75220	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2010%20Sep%202017%2016:47:04%20GMT	https://kunalkene1797.github.io/assets/fonts/fontawesome-webfont.eot?v=4.6.1	C:/Users/sanjay/Desktop/github%20copy/sanjay/kunalkene1797.github.io/assets/fonts/fontawesome-webfont914c.eot	(from https://kunalkene1797.github.io/assets/css/font-awesome.min.css)
15:25:44	116706/116706	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Sep%202017%2016:47:04%20GMT	https://kunalkene1797.github.io/images/profile1.jpg	C:/Users/sanjay/Desktop/github%20copy/sanjay/kunalkene1797.github.io/images/profile1.jpg	(from https://kunalkene1797.github.io/contact.html)
15:25:45	89076/89076	---M--	200	added ('OK')	application/font-woff	date:Sun,%2010%20Sep%202017%2016:47:04%20GMT	https://kunalkene1797.github.io/assets/fonts/fontawesome-webfont.woff?v=4.6.1	C:/Users/sanjay/Desktop/github%20copy/sanjay/kunalkene1797.github.io/assets/fonts/fontawesome-webfont914c.woff	(from https://kunalkene1797.github.io/assets/css/font-awesome.min.css)
15:25:45	70728/70728	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2010%20Sep%202017%2016:47:04%20GMT	https://kunalkene1797.github.io/assets/fonts/fontawesome-webfont.woff2?v=4.6.1	C:/Users/sanjay/Desktop/github%20copy/sanjay/kunalkene1797.github.io/assets/fonts/fontawesome-webfont914c.woff2	(from https://kunalkene1797.github.io/assets/css/font-awesome.min.css)
15:25:45	75220/75220	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2010%20Sep%202017%2016:47:04%20GMT	https://kunalkene1797.github.io/assets/fonts/fontawesome-webfont.eot?	C:/Users/sanjay/Desktop/github%20copy/sanjay/kunalkene1797.github.io/assets/fonts/fontawesome-webfontd41d.eot	(from https://kunalkene1797.github.io/assets/css/font-awesome.min.css)
15:25:46	150920/150920	---M-Z	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Sep%202017%2016:47:04%20GMT	https://kunalkene1797.github.io/assets/fonts/fontawesome-webfont.ttf?v=4.6.1	C:/Users/sanjay/Desktop/github%20copy/sanjay/kunalkene1797.github.io/assets/fonts/fontawesome-webfont914c.ttf	(from https://kunalkene1797.github.io/assets/css/font-awesome.min.css)
15:25:46	386421/386421	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Sep%202017%2016:47:04%20GMT	https://kunalkene1797.github.io/assets/fonts/fontawesome-webfont.svg?v=4.6.1	C:/Users/sanjay/Desktop/github%20copy/sanjay/kunalkene1797.github.io/assets/fonts/fontawesome-webfont914c.svg	(from https://kunalkene1797.github.io/assets/css/font-awesome.min.css)
15:25:47	850293/850293	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Sep%202017%2016:47:04%20GMT	https://kunalkene1797.github.io/images/banner.jpg	C:/Users/sanjay/Desktop/github%20copy/sanjay/kunalkene1797.github.io/images/banner.jpg	(from https://kunalkene1797.github.io/assets/css/main.css)
